# Quran surah metadata, derived from Tanzil Project quran-data.js.
# Fields: number|start_ayah_offset|ayah_count|arabic_name|transliteration|english_meaning|revelation
# Quran text source and license: Tanzil Project, https://tanzil.net
77|5622|50|المرسلات|Al-Mursalaat|The Emissaries|Meccan
78|5672|40|النبإ|An-Naba|The Announcement|Meccan
79|5712|46|النازعات|An-Naazi'aat|Those who drag forth|Meccan
80|5758|42|عبس|Abasa|He frowned|Meccan
81|5800|29|التكوير|At-Takwir|The Overthrowing|Meccan
82|5829|19|الإنفطار|Al-Infitaar|The Cleaving|Meccan
83|5848|36|المطففين|Al-Mutaffifin|Defrauding|Meccan
84|5884|25|الإنشقاق|Al-Inshiqaaq|The Splitting Open|Meccan
85|5909|22|البروج|Al-Burooj|The Constellations|Meccan
86|5931|17|الطارق|At-Taariq|The Morning Star|Meccan
87|5948|19|الأعلى|Al-A'laa|The Most High|Meccan
88|5967|26|الغاشية|Al-Ghaashiya|The Overwhelming|Meccan
89|5993|30|الفجر|Al-Fajr|The Dawn|Meccan
90|6023|20|البلد|Al-Balad|The City|Meccan
91|6043|15|الشمس|Ash-Shams|The Sun|Meccan
92|6058|21|الليل|Al-Lail|The Night|Meccan
93|6079|11|الضحى|Ad-Dhuhaa|The Morning Hours|Meccan
94|6090|8|الشرح|Ash-Sharh|The Consolation|Meccan
95|6098|8|التين|At-Tin|The Fig|Meccan
96|6106|19|العلق|Al-Alaq|The Clot|Meccan
97|6125|5|القدر|Al-Qadr|The Power, Fate|Meccan
98|6130|8|البينة|Al-Bayyina|The Evidence|Medinan
99|6138|8|الزلزلة|Az-Zalzala|The Earthquake|Medinan
100|6146|11|العاديات|Al-Aadiyaat|The Chargers|Meccan
101|6157|11|القارعة|Al-Qaari'a|The Calamity|Meccan
102|6168|8|التكاثر|At-Takaathur|Competition|Meccan
103|6176|3|العصر|Al-Asr|The Declining Day, Epoch|Meccan
104|6179|9|الهمزة|Al-Humaza|The Traducer|Meccan
105|6188|5|الفيل|Al-Fil|The Elephant|Meccan
106|6193|4|قريش|Quraish|Quraysh|Meccan
107|6197|7|الماعون|Al-Maa'un|Almsgiving|Meccan
108|6204|3|الكوثر|Al-Kawthar|Abundance|Meccan
109|6207|6|الكافرون|Al-Kaafiroon|The Disbelievers|Meccan
110|6213|3|النصر|An-Nasr|Divine Support|Medinan
111|6216|5|المسد|Al-Masad|The Palm Fibre|Meccan
112|6221|4|الإخلاص|Al-Ikhlaas|Sincerity|Meccan
113|6225|5|الفلق|Al-Falaq|The Dawn|Meccan
114|6230|6|الناس|An-Naas|Mankind|Meccan
